sentence_id,transcript,sentence,gold_label,vote_count,direction,sonnet_balanced__label,sonnet_skeptic__label,haiku_pattern__label,gpt_mini_balanced__label,sonnet_balanced__confidence,sonnet_skeptic__confidence,haiku_pattern__confidence,gpt_mini_balanced__confidence
013c18ba28ea,C_Q3-2024,The U.S. consumer dynamics remain remarkably consistent with prior quarters.,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.55,0.82,0.85,0.7
01c5d54f6a98,BLK_Q3-2025,We're bringing learnings from our U.S. offerings to help grow the ETF market in Europe and better serve our clients in this region.,substantive,3,substantive_2v1,substantive,boilerplate,substantive,substantive,0.55,0.82,0.72,0.7
0340bcd5c4ee,NVDA_Q4-2025,"And then finally, I will say this, just because the chip is designed doesn't mean it gets deployed.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.6,0.85,0.7
0533c9b05a31,INTC_Q1-2024,A lot of that stuff doesn't actually show up in the P&L.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.55,0.85,0.7
093042895a4a,WFC_Q2-2025,"I mean when you look at spreads, particularly on the commercial side, John, it's still very competitive.",substantive,3,substantive_2v1,substantive,substantive,boilerplate,substantive,0.6,0.6,0.85,0.7
09434d2446b4,NKE_Q3-2025,"While we added innovation across our 5 key fields of play this quarter, it's not enough to offset the continued headwinds of our classic franchises.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.75,0.75,0.85,0.6
09529bfa34d4,BLK_Q1-2024,"Then even as they have this sizable savings at retirement, there's not much guidance about how to spend or not -- and how not to overspend these savings.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.6,0.6,0.92,0.6
0973649b8cdb,BLK_Q3-2025,"Our initiative with Great Gray, the collective trust company that we told you about earlier this year.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.6,0.6,0.85,0.6
0b2a5f1e4a07,PLTR_Q4-2024,"We have taken a long bet over decades around the assumption that if we built the products that our partners -- most importantly, our partners in the West, most importantly, our partners in the U.S. -- ought to build, not what they wanted us to build, not what they mandated we should build, not what investors, venture capitalists or analysts were saying they reward us for building, that, that company would generate so much value that we would get a small percentage of that and we would end up as a massive significant and, much more importantly, impactful company that could power the West to its obvious innate superiority, expose things that weren't working, rebuild the whole infrastructure of a company.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.72,0.72,0.85,0.7
0b2e1de1c9fa,AMD_Q4-2024,"Obviously, the growth number in the fourth quarter, I mean, it was certainly higher than our model.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.6,0.6,0.72,0.6
0b702b912913,FAST_Q3-2024,But the primary challenge remains sluggish end markets.,substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.6,0.65,0.85,0.6
0bb463330f69,NKE_Q1-2026,"Elliot, maybe could you help elaborate on some of the early wins under your belt that you cited notably the return to growth in North America and the material acceleration in running.",boilerplate,3,boilerplate_2v1,boilerplate,boilerplate,boilerplate,substantive,0.72,0.82,0.85,0.7
0bc64f5cd197,C_Q1-2025,We've been talking about optimizing use of capital revenue to RWA and the improvement all last year.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.6,0.6,0.72,0.7
0bd4e250973e,INTC_Q1-2025,"I mean obviously, we thought Q1 would be a trough and it turned out to be better.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.72,0.72,0.85,0.7
0d84940a9ba4,AVGO_Q1-2026,"But you're right, you can look at it, gigawatts, which is the right way to look at it instead of dollars because that's how we sell our chips to.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.6,0.6,0.72,0.6
0e269af65ef8,WFC_Q2-2025,"Executives - Senior EVP & CFO And the good news is, right, we have a ton of excess capital.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.6,0.6,0.72,0.7
0ea397954906,PLTR_Q4-2024,"With the proliferation of AI models, the raw AI labor supply is exploding.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.6,0.72,0.85,0.6
0ec49d94d486,JPM_Q1-2025,But the notion that the 10-year treasury has to go down is a false notion.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.62,0.65,0.92,0.7
0ecc6f52212d,PLTR_Q3-2025,"Executives - Chief Revenue Officer & Chief Legal Officer We had a monumental third quarter, shattering expectations yet again.",boilerplate,3,boilerplate_2v1,boilerplate,boilerplate,substantive,boilerplate,0.72,0.85,0.72,0.6
0fe192b3960c,GS_Q1-2026,"They do infrastructure, they do real estate, they do credit.",substantive,3,substantive_2v1,substantive,substantive,boilerplate,substantive,0.6,0.6,0.85,0.7
1098bb01fa5e,AVGO_Q1-2026,"And then maybe the second quick question for either you or Charlie is, given that Broadcom's TPU, XPU programs from a performance complexity IP perspective are 12 to 18 months ahead of any of these COT programs, how does the Broadcom team widen this gap further?",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.75,0.82,0.85,0.7
10f795b2c0ff,JPM_Q4-2025,"When we think about -- there's more updates coming on G-SIB, Basel Endgame probably over the coming months.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.65,0.72,0.85,0.7
11a834eae02f,AVGO_Q4-2024,Those are not validated in our view under our model as customers.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.6,0.85,0.7
11f8a96a9d32,AVGO_Q1-2025,"Number one, to begin with, we believe design win when we know our product is produced in scale -- at scale and is actually deployed, literally deployed in production.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.62,0.6,0.75,0.6
13daa28d9b7e,BLK_Q1-2026,"BlackRock is simultaneously a leading public markets manager, a scaled private markets platform and a global technology company.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,substantive,boilerplate,0.6,0.85,0.72,0.7
14aa89ecacb8,GS_Q1-2025,I think there's room for material tailwinds around capital.,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.55,0.75,0.92,0.6
14d10d96c632,WFC_Q3-2024,"I'd say, look, the short answer on the behavior side is not much has changed since in the last 3 weeks.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.6,0.85,0.6
156b765c8f92,JPM_Q1-2025,"There is this excessive cost built up that hopefully we can get rid of and will reduce the cost of the system, but it's not the brand new branches.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.6,0.6,0.72,0.6
162a769692c6,C_Q3-2024,Executives - CEO & Chair of the Board And all of this drives productivity and other benefits for our shareholders as well as making sure that we're strengthening Citi from the regulatory perspective.,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.85,0.85,0.7
168d0e35b322,FAST_Q4-2023,"That speaks more, I believe, to the PMI index than anything else.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.72,0.92,0.7
17dc2718ec6d,JPM_Q3-2025,So it's almost a dishonest disclosure of these numbers.,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.62,0.85,0.7
18e340c8de9b,GS_Q4-2025,We are expanding our loan product offerings in line with client demand.,boilerplate,3,boilerplate_2v1,boilerplate,boilerplate,boilerplate,substantive,0.72,0.85,0.92,0.7
193ce06c5cdd,BLK_Q1-2026,"Much of the focus on wealth vehicles like BDCs, interval funds and tender funds.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.72,0.72,0.85,0.6
197bad4c3e0b,C_Q1-2025,"Answer Executives - CEO & Chair of the Board Look, first of all, we continue to be on track with the preparation for the IPO, John.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.62,0.65,0.85,0.7
19acf8d9a859,INTC_Q3-2024,The new Xeon 6 is tailor-made to handle compute-intensive workloads with exceptional efficiency from edge to data center and cloud environments.,substantive,3,substantive_2v1,substantive,substantive,boilerplate,substantive,0.72,0.7,0.85,0.8
1a1ac8b2770d,AVGO_Q4-2025,But we expect the rate of growth of -- as we do more and more AI revenue to be so much that we get the operating leverage on our operating spending that operating margin will deliver dollars that are still high level of growth from what it has been.,substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.72,0.72,0.85,0.6
1a39fae330da,AVGO_Q3-2025,"And on the networking side, do you think UALink or PCIe even has a chance of displacing SUE in 2027 when it's expected to ramp?",boilerplate,2,boilerplate_2v1,substantive,boilerplate,substantive,boilerplate,0.72,0.72,0.85,0.7
1a3af555659c,C_Q3-2025,"And we have a very fiscally disciplined consumer base and, as I say, a very prime one.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.85,0.92,0.7
1acee53f34a4,NVDA_Q3-2026,"All of those different industries are now getting engaged, and they're going to do their own fundraising.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.52,0.52,0.85,0.6
1ba41f0b3f08,GS_Q1-2024,"The sharp decrease sequentially, we're pleased with, as well as the year-over-year decrease.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,substantive,boilerplate,0.52,0.82,0.72,0.7
1bf10177d7ef,WFC_Q2-2025,"So we spent a lot of time talking about the things that we've been doing to focus on growing noninterest revenues, which have been -- which we've been doing because there are strategic opportunities, not just because of the balance sheet.",boilerplate,3,boilerplate_2v1,boilerplate,boilerplate,substantive,boilerplate,0.62,0.75,0.72,0.7
1c1e5696c907,WFC_Q4-2025,"But now that the asset cap's gone, we've got more opportunity to continue to do more with clients and that should create this good virtuous circle where they do more fee-based business with us as well.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.72,0.72,0.72,0.6
1c573467115a,AMD_Q3-2024,"On the Data Center GPU side, I realize everyone wants new customer announcements and 2025 guidance, but we're not going to get that, certainly not today.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.72,0.72,0.92,0.9
1d0768570fde,JPM_Q1-2026,It continues to be intense and we have both external and internal competition from higher-yielding alternatives and people sort of optimize that and the start of running the business.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.6,0.6,0.85,0.7
1d1d9976d5c6,FAST_Q4-2024,"He talked about in 2024, a cost structure that was effectively managed.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.6,0.72,0.85,0.6
1d634cb132fd,PLTR_Q1-2025,"You have Eastern Europe, you have Germany, France, you have -- they're very different Europes.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.55,0.85,0.7
1d7a49623992,FDX_Q1-2025,"Question Analysts - Research Analyst I was wondering, you talked about the lower-than-normal second quarter EPS seasonality.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.6,0.75,0.92,0.6
1d88bd9705dd,PLTR_Q1-2024,Revenue from our largest customers continues to expand.,boilerplate,2,boilerplate_2v1,substantive,boilerplate,substantive,boilerplate,0.52,0.82,0.72,0.6
1f0f93995498,INTC_Q4-2025,"So in terms of 14A, realistically in terms of, I call it, the risk production in the later part of 2027 and real production, volume production in 2028.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.82,0.85,0.85,0.6
1f1ad6d7ce3a,JPM_Q2-2025,And so we've talked about how excess capital is earnings in store.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.52,0.55,0.85,0.6
1f580599eb31,JNJ_Q4-2025,We will continue to aggressively fight in the court system each and every one of these meritless claims.,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.55,0.82,0.92,0.7
1f9f68879e84,BLK_Q3-2025,"And depending on the status, I think, of legal and regulatory to more meaningful engage with our clients on exposures in the existing LifePath range.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.72,0.85,0.7
1fee99eab6c7,INTC_Q4-2025,"In the short term, I'm disappointed that we are not able to fully meet the demand in our markets.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,substantive,boilerplate,0.55,0.72,0.75,0.7
1ff45aa14aa2,AVGO_Q4-2024,"Question Analysts - Former Managing Director The $60 billion to $90 billion SAM forecast for fiscal '27, Hock, I'm curious if you guys have a view on the TAM.",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.85,0.85,0.92,0.9
20318f871582,NVDA_Q1-2025,"And if you invest in our architecture today, without doing anything, it will go to more and more clouds and more and more data centers and everything just runs.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.55,0.85,0.7
20c93c37a1ef,NKE_Q2-2026,"I'm confident this change will result in us accelerating our Win Now actions by allowing our geography GMs to more closely shape our strategy, drive faster decisions and influence investments.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,substantive,boilerplate,0.6,0.75,0.72,0.6
21df585fc180,GS_Q3-2024,The final rule will have a significant impact on the growth and competitiveness of the U.S. economy.,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.82,0.92,0.6
23a546f4c309,JPM_Q3-2024,You've got a trough in the middle of the year and you've got a rough ballpark for the full year.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.55,0.85,0.6
23c9b5ab7fed,FDX_Q3-2024,"Our capital investment priorities will be on improving efficiency, modernizing facilities and optimizing our network.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.6,0.82,0.92,0.7
2401c8cb684c,C_Q4-2025,I think one of the concerns investors have is Citi was behind the curve in terms of franchise investments.,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.62,0.72,0.85,0.6
24416944651b,NKE_Q2-2025,My visits to the geos the past few weeks only reinforced my conviction that we need to get back to empowering our teams in key countries and key cities.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.55,0.55,0.85,0.7
25249a666b2b,INTC_Q1-2024,"The first one is for inferencing, you need a whole lot less software compatibility, right?",substantive,3,substantive_2v1,substantive,substantive,substantive,boilerplate,0.55,0.55,0.72,0.6
261bd4530146,PLTR_Q4-2025,Is the purchasing structure of a European country actually allowed to bear the load of buying the best product?,boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.82,0.95,0.7
26981f72d93c,NKE_Q3-2026,"We also recognize that the environment around us has become increasingly dynamic, and could experience unplanned volatility due to the disruption in the Middle East, rising oil prices, and other factors that could impact either input costs or consumer behavior.",boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.82,0.82,0.72,0.6
27413ea3102d,FAST_Q3-2025,If -- there's nothing in there that I'm going to lose sleep over other than cautioning everybody in August to slow that down because it doesn't do anything for Q3.,boilerplate,2,boilerplate_2v1,substantive,substantive,boilerplate,boilerplate,0.62,0.65,0.85,0.7
28831d896ea7,GS_Q2-2025,"The investment we've made to strengthen and grow our global client franchise, including our emphasis on scaling capital-light businesses have materially enhanced the resilience of our firm.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,substantive,boilerplate,0.62,0.75,0.72,0.7
28ce420d6f09,GS_Q1-2024,"Obviously, we have a variety of both capital and liquidity ratios that we manage to over time.",boilerplate,3,boilerplate_2v1,substantive,boilerplate,boilerplate,boilerplate,0.52,0.85,0.92,0.7
29adc88da363,FAST_Q1-2024,"And we started doing that probably 5, 6 years later, and we've been doing that for many years In 2020 and 2021 because of COVID, we had to shut down the event.",substantive,3,substantive_2v1,substantive,substantive,boilerplate,substantive,0.6,0.55,0.85,0.7
