name,family,status,threshold,test_acc,test_macroF1,boi_F1,sub_F1,sub_recall,sub_prec,train_sec,sent_per_sec,fold_threshold_std,description
xgb_combined,Boosted trees,OK,0.05,0.9325,0.9324793217922989,0.9336609336609336,0.9312977099236641,0.9945652173913043,0.8755980861244019,45.2085320000042,64401.86765526285,0.028284271247461905,XGBoost on (embeddings ⊕ regex flags)
lgb_combined,Gradient boosting,OK,0.02,0.9275,0.9274886701047038,0.928395061728395,0.9265822784810127,0.9945652173913043,0.8672985781990521,61.78917524999997,49187.88954589197,0.017320508075688777,LightGBM on (embeddings ⊕ regex flags)
xgb_guarded,Hybrid (boosted + rules),OK,0.06,0.9125,0.912499453121582,0.9122807017543859,0.912718204488778,0.9945652173913043,0.8433179723502304,45.2085320000042,64401.86765526285,0.044721359549995794,XGBoost probabilities with hard substantive/boilerplate cue guardrails
weighted_recall_ensemble_v2,Ensemble,OK,0.16,0.885,0.8848589522164652,0.8808290155440415,0.8888888888888888,1.0,0.8,152.32129079200968,18870.372339171427,0.053141321022345686,"Weighted average of top base recall-feasible entries: ['xgb_guarded', 'xgb_combined', 'lgb_combined', 'distill_softlabel', 'prototype_cosine']"
optimized_ensemble,Ensemble,OK,0.31,0.8625,0.8620438825868026,0.8541114058355438,0.8699763593380615,1.0,0.7698744769874477,478.4665523330041,136.83727601680937,0.027129319932501072,"Macro-F1 optimized blend of 6 base models: ['xgb_combined', 'lgb_combined', 'distill_softlabel', 'prototype_cosine', 'rules_only', 'setfit']"
recall_safe_blend,Ensemble,OK,0.31,0.7725,0.769583794904257,0.7436619718309859,0.7955056179775281,0.9619565217391305,0.6781609195402298,1839.9423639180604,123.09468503447015,0.046043457732885366,"OOF-selected recall-safe blend: ['xgb_guarded', 'mean_ensemble', 'rules_only']"
mean_ensemble,Ensemble,OK,0.24,0.76,0.7564935064935066,0.7272727272727273,0.7857142857142857,0.9565217391304348,0.6666666666666666,1794.6607467100548,123.09468503447015,0.05314132102234571,"Mean-probability of top-5: ['stacked_meta', 'recall_safe_blend', 'weighted_recall_ensemble_v2', 'optimized_ensemble', 'mean_ensemble']"
stacked_meta,Ensemble,OK,0.13999999999999999,0.755,0.7514204545454546,0.7215909090909091,0.78125,0.9510869565217391,0.6628787878787878,0.01396962501166854,123.09468503447015,0.04586937976471885,"LogReg stacked on OOF probs of top-5: ['setfit', 'hgb_combined', 'distill_softlabel', 'logreg_embed', 'svm_charngram']"
distill_softlabel,Distillation (creative),OK,0.25,0.7275,0.7175708502024292,0.6646153846153846,0.7705263157894737,0.9945652173913043,0.6288659793814433,0.07407975000387523,881785.6338164799,0.0540370243444252,"Ridge on embeddings, fit to mean-judge probability with agreement weights"
prototype_cosine,Anchor (creative),OK,0.32,0.6425,0.6247482467477088,0.5431309904153354,0.7063655030800822,0.9347826086956522,0.5676567656765676,0.0409717919974355,18870.372339171427,0.022271057451320107,K-medoid prototypes per class; max-cosine gap → sigmoid
rules_only,Rules,OK,0.27,0.495,0.38367658276125094,0.12173913043478261,0.6456140350877193,1.0,0.47668393782383417,0.07308520800143015,140135.75680583806,0.0,Regex feature signal-count → sigmoid
setfit,Contrastive,OK,0.29000000000000004,0.4775,0.35381642512077294,0.07111111111111111,0.6365217391304347,0.9945652173913043,0.4680306905370844,371.28070833299716,136.83727601680937,0.01496662954709576,"SetFit on MPNet, 4 iterations, max 80 steps"
svm_charngram,Linear (lexical),OK,0.44,0.46,0.3150684931506849,0.0,0.6301369863013698,1.0,0.46,1.4098599580029259,8463.914248638412,0.16975276139138357,"Linear SVM on char 3–5 n-grams, sigmoid-calibrated"
logreg_embed,Linear,INFEASIBLE,,,,,,,,0.3944323330069892,26660.74086685518,,LogReg on frozen MPNet embeddings (class-weighted)
hgb_combined,Tree ensemble,INFEASIBLE,,,,,,,,40.97069016601017,22510.587862819513,,HistGradientBoosting on (embeddings ⊕ 30 regex flags)
fasttext,N-gram,INFEASIBLE,,,,,,,,4.161917250006809,81228.5823678503,,"FastText supervised, wordNgrams=2, dim=100, 25 epochs"
two_stage,Hybrid (creative),INFEASIBLE,,,,,,,,0.16903637499490287,112209.83224669711,,Rule overrides on hard cues + LogReg(embeddings) for the rest
logreg_embed_guarded,Linear (guarded),INFEASIBLE,,,,,,,,0.43695658299839124,590114.981293204,,LogReg on embeddings + hard substantive/boilerplate guardrails
hgb_combined_guarded,Tree ensemble (guarded),INFEASIBLE,,,,,,,,41.661524459006614,11929.985657980424,,HistGradientBoosting on (embeddings ⊕ regex) + guardrails
