sentence_id,transcript,sentence,gold_label,vote_sub,vote_boi,is_tie,vote_margin,mean_conf,std_conf,provider_split,gpt_mini_balanced__label,haiku_pattern__label,sonnet_skeptic__label,gpt_mini_balanced__confidence,haiku_pattern__confidence,sonnet_skeptic__confidence,oof_proba,oof_pred,priority
3153064e7f96,FAST_Q2-2025,And I would just throw out -- we've made several leadership changes during the quarter.,substantive,2,1,False,1,0.6999999999999998,0.14999999999999997,True,substantive,boilerplate,substantive,0.7,0.85,0.55,0.0020637107081711292,0,0.05793628929182887
848018e46691,JPM_Q1-2025,Executives - Chairman & CEO I just would also say it may not be deposits.,substantive,0,3,False,3,0.7466666666666667,0.16165807537309526,False,boilerplate,boilerplate,boilerplate,0.6,0.92,0.72,0.006057565566152334,0,0.053942434433847664
9c4d37335971,NKE_Q4-2024,"So on your first question, the actions that we're taking on NIKE Direct and Digital are more aggressive.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,0.007399486377835274,0,0.052600513622164724
bd16e67545e4,NVDA_Q4-2025,Blackwell has great demand for inference.,substantive,2,1,False,1,0.6666666666666666,0.07637626158259735,True,boilerplate,substantive,substantive,0.6,0.75,0.65,0.007993373088538647,0,0.05200662691146135
be917c0cf1b7,JPM_Q4-2023,It tends to be a trade-off between the best possible pricing versus speed and uncertainty of execution.,substantive,0,3,False,3,0.8566666666666666,0.040414518843273836,False,boilerplate,boilerplate,boilerplate,0.9,0.85,0.82,0.009646084159612656,0,0.05035391584038734
ef7b8dd0647d,AVGO_Q4-2024,"We're talking about silicon design, packaging design and optical technology.",substantive,3,0,False,3,0.6733333333333333,0.06429100507328636,False,substantive,substantive,substantive,0.7,0.72,0.6,0.00969031173735857,0,0.05030968826264143
0fe192b3960c,GS_Q1-2026,"They do infrastructure, they do real estate, they do credit.",substantive,2,1,False,1,0.7166666666666667,0.12583057392117916,True,substantive,boilerplate,substantive,0.7,0.85,0.6,0.011001615785062313,0,0.048998384214937685
6b85be02128d,PLTR_Q3-2024,And we're going to prove this by opening up part of our products and allowing you to sit on government data.,substantive,3,0,False,3,0.7166666666666667,0.12583057392117916,False,substantive,substantive,substantive,0.7,0.85,0.6,0.01184023730456829,0,0.04815976269543171
d403bd98fb72,AMD_Q1-2024,"And from our experience, I think you'll see a faster transition than, for example, when we went from Milan to Genoa.",substantive,2,1,False,1,0.6566666666666666,0.06027713773341708,True,boilerplate,substantive,substantive,0.6,0.72,0.65,0.012225263752043247,0,0.04777473624795675
34d9dbfede38,GS_Q2-2025,And so it's the continued execution in Asset Wealth Management that's uplifting those returns.,substantive,3,0,False,3,0.6733333333333333,0.06429100507328636,False,substantive,substantive,substantive,0.7,0.72,0.6,0.013701394200325012,0,0.046298605799674986
a8eace4b7c43,AVGO_Q1-2024,And this is -- a lot of this should be on the back of AI networking that appears to be exploding here.,substantive,3,0,False,3,0.6733333333333333,0.06429100507328636,False,substantive,substantive,substantive,0.7,0.72,0.6,0.014800765551626682,0,0.045199234448373315
6453fa355185,C_Q4-2024,Or how do you think about the rest of the year on the buybacks.,substantive,0,3,False,3,0.89,0.036055512754639925,False,boilerplate,boilerplate,boilerplate,0.9,0.92,0.85,0.019597971811890602,0,0.040402028188109396
fa3932dbc56a,PLTR_Q3-2024,And we are going to maintain the contradiction of having both high margins and high growth.,substantive,0,3,False,3,0.7333333333333334,0.12583057392117916,False,boilerplate,boilerplate,boilerplate,0.6,0.85,0.75,0.023427188396453857,0,0.03657281160354614
6af2b14e9712,C_Q2-2024,"And what that is, is in Argentina, we have capital there.",substantive,2,1,False,1,0.6833333333333332,0.14433756729740646,True,substantive,boilerplate,substantive,0.6,0.85,0.6,0.025213127955794334,0,0.03478687204420566
c289f62f7295,FDX_Q4-2025,"Last month, we named Brad Martin as Chairman of the Board of FedEx Freight.",substantive,3,0,False,3,0.7899999999999999,0.07937253933193772,False,substantive,substantive,substantive,0.7,0.85,0.82,0.025744998827576637,0,0.03425500117242336
825b9d970a1b,PLTR_Q2-2024,"Executives - Co-Founder, CEO & Director Well, and Shyam's leading this charge, but the reason it, I think, is likely to work is because not just America but every allied nation is -- has the problem that they cannot get their military production to work.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,0.025793740525841713,0,0.034206259474158285
3d7ef2dbb11f,JNJ_Q2-2024,"And given our leadership position in China, we are seeing that as a short-term tailwind.",substantive,2,1,False,1,0.68,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.72,0.03163407742977142,0,0.028365922570228574
