sentence_id,transcript,sentence,gold_label,vote_count,direction,sonnet_balanced__label,sonnet_skeptic__label,haiku_pattern__label,sonnet_balanced__confidence,sonnet_skeptic__confidence,haiku_pattern__confidence
65321d37b210,PLTR_Q2-2025,"As LLMs continue to improve, it only further accelerates the value realization and therefore, the value of our products.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.55,0.82,0.85
013c18ba28ea,C_Q3-2024,The U.S. consumer dynamics remain remarkably consistent with prior quarters.,substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.55,0.82,0.85
4d5b04cafa7a,INTC_Q4-2024,"As such, a one-size-fits-all approach will not work, and I can see clear opportunities to leverage our core assets in new ways to drive the most compelling total cost of ownership across the continuum.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.85,0.92
657033f058e0,WFC_Q3-2025,"Analysts - MD & Head of United States Bank Research Within your deposit growth expectations, within retail specifically, could you speak to geographies or products you're pushing the hardest and maybe where there's the biggest opportunity for growth over the coming years?",boilerplate,2,boilerplate_2v1,boilerplate,boilerplate,substantive,0.72,0.85,0.85
3ff760e939cf,FAST_Q2-2025,But what you saw was an incredible leaning down of our operating expenses.,substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.55,0.72,0.85
6318a962a694,NVDA_Q3-2026,"Therefore, a new approach is necessary for them to keep driving the cost down.",substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.45,0.75,0.92
21df585fc180,GS_Q3-2024,The final rule will have a significant impact on the growth and competitiveness of the U.S. economy.,substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.82,0.92
e5e8ca998cbd,AVGO_Q2-2025,And do you think it leads to a market share shift faster than we were expecting towards XPU from GPU?,substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.6,0.72,0.92
168d0e35b322,FAST_Q4-2023,"That speaks more, I believe, to the PMI index than anything else.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.72,0.92
2401c8cb684c,C_Q4-2025,I think one of the concerns investors have is Citi was behind the curve in terms of franchise investments.,boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.62,0.72,0.85
