sentence_id,sentence,gold_label,override_label,changed
013c18ba28ea,The U.S. consumer dynamics remain remarkably consistent with prior quarters.,boilerplate,boilerplate,False
01c5d54f6a98,We're bringing learnings from our U.S. offerings to help grow the ETF market in Europe and better serve our clients in this region.,substantive,substantive,False
0340bcd5c4ee,"And then finally, I will say this, just because the chip is designed doesn't mean it gets deployed.",boilerplate,substantive,True
0533c9b05a31,A lot of that stuff doesn't actually show up in the P&L.,boilerplate,boilerplate,False
093042895a4a,"I mean when you look at spreads, particularly on the commercial side, John, it's still very competitive.",substantive,substantive,False
09434d2446b4,"While we added innovation across our 5 key fields of play this quarter, it's not enough to offset the continued headwinds of our classic franchises.",substantive,substantive,False
09529bfa34d4,"Then even as they have this sizable savings at retirement, there's not much guidance about how to spend or not -- and how not to overspend these savings.",boilerplate,substantive,True
0973649b8cdb,"Our initiative with Great Gray, the collective trust company that we told you about earlier this year.",boilerplate,boilerplate,False
0b2a5f1e4a07,"We have taken a long bet over decades around the assumption that if we built the products that our partners -- most importantly, our partners in the West, most importantly, our partners in the U.S. -- ought to build, not what they wanted us to build, not what they mandated we should build, not what investors, venture capitalists or analysts were saying they reward us for building, that, that company would generate so much value that we would get a small percentage of that and we would end up as a massive significant and, much more importantly, impactful company that could power the West to its obvious innate superiority, expose things that weren't working, rebuild the whole infrastructure of a company.",boilerplate,boilerplate,False
0b2e1de1c9fa,"Obviously, the growth number in the fourth quarter, I mean, it was certainly higher than our model.",substantive,substantive,False
0b702b912913,But the primary challenge remains sluggish end markets.,substantive,substantive,False
0bb463330f69,"Elliot, maybe could you help elaborate on some of the early wins under your belt that you cited notably the return to growth in North America and the material acceleration in running.",boilerplate,boilerplate,False
0bc64f5cd197,We've been talking about optimizing use of capital revenue to RWA and the improvement all last year.,boilerplate,substantive,True
0bd4e250973e,"I mean obviously, we thought Q1 would be a trough and it turned out to be better.",substantive,substantive,False
0d84940a9ba4,"But you're right, you can look at it, gigawatts, which is the right way to look at it instead of dollars because that's how we sell our chips to.",substantive,substantive,False
0e269af65ef8,"Executives - Senior EVP & CFO And the good news is, right, we have a ton of excess capital.",substantive,substantive,False
0ea397954906,"With the proliferation of AI models, the raw AI labor supply is exploding.",boilerplate,boilerplate,False
0ec49d94d486,But the notion that the 10-year treasury has to go down is a false notion.,boilerplate,boilerplate,False
0ecc6f52212d,"Executives - Chief Revenue Officer & Chief Legal Officer We had a monumental third quarter, shattering expectations yet again.",boilerplate,substantive,True
0fe192b3960c,"They do infrastructure, they do real estate, they do credit.",substantive,substantive,False
1098bb01fa5e,"And then maybe the second quick question for either you or Charlie is, given that Broadcom's TPU, XPU programs from a performance complexity IP perspective are 12 to 18 months ahead of any of these COT programs, how does the Broadcom team widen this gap further?",substantive,substantive,False
10f795b2c0ff,"When we think about -- there's more updates coming on G-SIB, Basel Endgame probably over the coming months.",boilerplate,boilerplate,False
11a834eae02f,Those are not validated in our view under our model as customers.,boilerplate,boilerplate,False
11f8a96a9d32,"Number one, to begin with, we believe design win when we know our product is produced in scale -- at scale and is actually deployed, literally deployed in production.",substantive,substantive,False
13daa28d9b7e,"BlackRock is simultaneously a leading public markets manager, a scaled private markets platform and a global technology company.",boilerplate,boilerplate,False
14aa89ecacb8,I think there's room for material tailwinds around capital.,boilerplate,boilerplate,False
14d10d96c632,"I'd say, look, the short answer on the behavior side is not much has changed since in the last 3 weeks.",boilerplate,boilerplate,False
156b765c8f92,"There is this excessive cost built up that hopefully we can get rid of and will reduce the cost of the system, but it's not the brand new branches.",boilerplate,boilerplate,False
162a769692c6,Executives - CEO & Chair of the Board And all of this drives productivity and other benefits for our shareholders as well as making sure that we're strengthening Citi from the regulatory perspective.,boilerplate,boilerplate,False
168d0e35b322,"That speaks more, I believe, to the PMI index than anything else.",boilerplate,boilerplate,False
17dc2718ec6d,So it's almost a dishonest disclosure of these numbers.,boilerplate,boilerplate,False
18e340c8de9b,We are expanding our loan product offerings in line with client demand.,boilerplate,boilerplate,False
193ce06c5cdd,"Much of the focus on wealth vehicles like BDCs, interval funds and tender funds.",boilerplate,boilerplate,False
197bad4c3e0b,"Answer Executives - CEO & Chair of the Board Look, first of all, we continue to be on track with the preparation for the IPO, John.",boilerplate,boilerplate,False
19acf8d9a859,The new Xeon 6 is tailor-made to handle compute-intensive workloads with exceptional efficiency from edge to data center and cloud environments.,substantive,substantive,False
1a1ac8b2770d,But we expect the rate of growth of -- as we do more and more AI revenue to be so much that we get the operating leverage on our operating spending that operating margin will deliver dollars that are still high level of growth from what it has been.,substantive,substantive,False
1a39fae330da,"And on the networking side, do you think UALink or PCIe even has a chance of displacing SUE in 2027 when it's expected to ramp?",boilerplate,substantive,True
1a3af555659c,"And we have a very fiscally disciplined consumer base and, as I say, a very prime one.",boilerplate,boilerplate,False
1acee53f34a4,"All of those different industries are now getting engaged, and they're going to do their own fundraising.",boilerplate,boilerplate,False
1ba41f0b3f08,"The sharp decrease sequentially, we're pleased with, as well as the year-over-year decrease.",boilerplate,substantive,True
1bf10177d7ef,"So we spent a lot of time talking about the things that we've been doing to focus on growing noninterest revenues, which have been -- which we've been doing because there are strategic opportunities, not just because of the balance sheet.",boilerplate,substantive,True
1c1e5696c907,"But now that the asset cap's gone, we've got more opportunity to continue to do more with clients and that should create this good virtuous circle where they do more fee-based business with us as well.",substantive,boilerplate,True
1c573467115a,"On the Data Center GPU side, I realize everyone wants new customer announcements and 2025 guidance, but we're not going to get that, certainly not today.",boilerplate,substantive,True
1d0768570fde,It continues to be intense and we have both external and internal competition from higher-yielding alternatives and people sort of optimize that and the start of running the business.,boilerplate,boilerplate,False
1d1d9976d5c6,"He talked about in 2024, a cost structure that was effectively managed.",boilerplate,substantive,True
1d634cb132fd,"You have Eastern Europe, you have Germany, France, you have -- they're very different Europes.",boilerplate,boilerplate,False
1d7a49623992,"Question Analysts - Research Analyst I was wondering, you talked about the lower-than-normal second quarter EPS seasonality.",boilerplate,substantive,True
1d88bd9705dd,Revenue from our largest customers continues to expand.,boilerplate,substantive,True
1f0f93995498,"So in terms of 14A, realistically in terms of, I call it, the risk production in the later part of 2027 and real production, volume production in 2028.",substantive,substantive,False
1f1ad6d7ce3a,And so we've talked about how excess capital is earnings in store.,boilerplate,boilerplate,False
1f580599eb31,We will continue to aggressively fight in the court system each and every one of these meritless claims.,boilerplate,boilerplate,False
1f9f68879e84,"And depending on the status, I think, of legal and regulatory to more meaningful engage with our clients on exposures in the existing LifePath range.",boilerplate,boilerplate,False
1fee99eab6c7,"In the short term, I'm disappointed that we are not able to fully meet the demand in our markets.",boilerplate,boilerplate,False
1ff45aa14aa2,"Question Analysts - Former Managing Director The $60 billion to $90 billion SAM forecast for fiscal '27, Hock, I'm curious if you guys have a view on the TAM.",substantive,substantive,False
20318f871582,"And if you invest in our architecture today, without doing anything, it will go to more and more clouds and more and more data centers and everything just runs.",boilerplate,boilerplate,False
20c93c37a1ef,"I'm confident this change will result in us accelerating our Win Now actions by allowing our geography GMs to more closely shape our strategy, drive faster decisions and influence investments.",boilerplate,boilerplate,False
21df585fc180,The final rule will have a significant impact on the growth and competitiveness of the U.S. economy.,boilerplate,boilerplate,False
23a546f4c309,You've got a trough in the middle of the year and you've got a rough ballpark for the full year.,boilerplate,boilerplate,False
23c9b5ab7fed,"Our capital investment priorities will be on improving efficiency, modernizing facilities and optimizing our network.",boilerplate,boilerplate,False
2401c8cb684c,I think one of the concerns investors have is Citi was behind the curve in terms of franchise investments.,boilerplate,boilerplate,False
