sentence_id,transcript,sentence,gold_label,vote_sub,vote_boi,is_tie,vote_margin,mean_conf,std_conf,provider_split,gpt_mini_balanced__label,haiku_pattern__label,sonnet_skeptic__label,gpt_mini_balanced__confidence,haiku_pattern__confidence,sonnet_skeptic__confidence,severity_score
25249a666b2b,INTC_Q1-2024,"The first one is for inferencing, you need a whole lot less software compatibility, right?",substantive,2,1,False,1,0.6233333333333333,0.08736894948054101,True,boilerplate,substantive,substantive,0.6,0.72,0.55,4
36e9e5d0f757,AVGO_Q3-2024,"Some of the merchant guys obviously are also in the hyperscaler today, but there's a process, obviously, of a transition going on.",substantive,2,1,False,1,0.6233333333333333,0.08736894948054101,True,boilerplate,substantive,substantive,0.6,0.72,0.55,4
5cd1d5e41cf5,FDX_Q1-2026,"The one thing that I can emphasize that as we look at the difference between the Q1 and Q2 through Q4, the domestic momentum.",substantive,2,1,False,1,0.6233333333333333,0.08736894948054101,True,boilerplate,substantive,substantive,0.6,0.72,0.55,4
cd4687bb2961,NVDA_Q4-2026,All of the enterprise ISVs who are now working on agentic systems on top of their tools platforms.,substantive,2,1,False,1,0.6233333333333333,0.08736894948054101,True,boilerplate,substantive,substantive,0.6,0.72,0.55,4
e7bcc45b8762,GS_Q2-2025,We had a nominal dividend and we've been kind of growing into it as we've been growing the firm.,substantive,2,1,False,1,0.6233333333333333,0.08736894948054101,True,boilerplate,substantive,substantive,0.6,0.72,0.55,4
e830a39f356f,FAST_Q1-2024,We've seen improvements in sort of the rate of signings on the contract side as well.,substantive,2,1,False,1,0.6233333333333333,0.08736894948054101,True,boilerplate,substantive,substantive,0.6,0.72,0.55,4
e14507967fe2,AVGO_Q2-2024,"That's a great product, great technology, but it's been out for 20 years.",substantive,2,1,False,1,0.6333333333333334,0.10408329997330662,True,boilerplate,substantive,substantive,0.6,0.75,0.55,4
0b2e1de1c9fa,AMD_Q4-2024,"Obviously, the growth number in the fourth quarter, I mean, it was certainly higher than our model.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
0d84940a9ba4,AVGO_Q1-2026,"But you're right, you can look at it, gigawatts, which is the right way to look at it instead of dollars because that's how we sell our chips to.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
5bdcc95d0bf0,FAST_Q2-2024,"However, it did ease from where it was in the first quarter of 2024.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
6e6af0de5f7d,C_Q2-2024,"After a break in progress, inflation now appears back on a downward trajectory.",boilerplate,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
825b9d970a1b,PLTR_Q2-2024,"Executives - Co-Founder, CEO & Director Well, and Shyam's leading this charge, but the reason it, I think, is likely to work is because not just America but every allied nation is -- has the problem that they cannot get their military production to work.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
849bd54ec20c,AVGO_Q1-2026,"And in spite of all the hubris noise out there on what's available, they think very long term on how they deploy the XPUs they develop with us, how they deploy in achieving better and better LLMs that they want to create.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
9c4d37335971,NKE_Q4-2024,"So on your first question, the actions that we're taking on NIKE Direct and Digital are more aggressive.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
a7ae8e94961c,AVGO_Q1-2026,"You can tweak your TPUs towards the -- XPU, sorry, Freudian slip, to a particular kind of workload LLM that you want.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
c30c8556cdc4,NVDA_Q3-2026,You can use 1 architecture and not worry about the changes in the workload across those 3 phases.,substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
c9dc266406bd,FDX_Q1-2026,"And especially in this complex trade environment, those kind of -- it's the added value as we improve our value proposition for moving things across borders and being predictive using GenAI to create value from HS classifications and so on.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
d309714f578a,C_Q4-2024,"We know what we need to be spending on through the annual planning process that concluded last month, it was clear that we did need to invest some more.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,4
11f8a96a9d32,AVGO_Q1-2025,"Number one, to begin with, we believe design win when we know our product is produced in scale -- at scale and is actually deployed, literally deployed in production.",substantive,2,1,False,1,0.65,0.08660254037844388,True,boilerplate,substantive,substantive,0.6,0.75,0.6,4
399a2b1bd730,BLK_Q3-2025,The Indian market remains largely untapped and is today a country of savers rather investors.,substantive,2,1,False,1,0.65,0.08660254037844388,True,boilerplate,substantive,substantive,0.6,0.75,0.6,4
34a8e4dd45cb,PLTR_Q4-2024,"To get the AI to actually work in an enterprise, you have to re-segment, re-concatenate the large language models in a way where the use case is thin enough that they can actually provide exact enough information.",substantive,2,1,False,1,0.6566666666666666,0.06027713773341708,True,boilerplate,substantive,substantive,0.6,0.72,0.65,4
427f49056212,AMD_Q3-2024,"I guess maybe building on the latter point that you just made, I'm curious of how you would characterize your supply chain having evolved now talking about $5-plus billion.",substantive,2,1,False,1,0.6566666666666666,0.06027713773341708,True,boilerplate,substantive,substantive,0.6,0.72,0.65,4
5c9648ac032a,JPM_Q3-2024,"We've actually deployed a lot of capital, some of those almost have been paid off, some of it's done.",substantive,2,1,False,1,0.6566666666666666,0.09291573243177566,True,substantive,boilerplate,substantive,0.7,0.72,0.55,4
d403bd98fb72,AMD_Q1-2024,"And from our experience, I think you'll see a faster transition than, for example, when we went from Milan to Genoa.",substantive,2,1,False,1,0.6566666666666666,0.06027713773341708,True,boilerplate,substantive,substantive,0.6,0.72,0.65,4
efc5177858c5,JNJ_Q3-2024,We're seeing macroeconomic pressures in Japan.,substantive,2,1,False,1,0.6566666666666666,0.06027713773341708,True,boilerplate,substantive,substantive,0.6,0.72,0.65,4
8fa0605e9da3,WFC_Q2-2025,We also see opportunities to allocate more balance sheet to our markets business to drive increased profitability.,substantive,2,1,False,1,0.6666666666666666,0.07637626158259735,True,boilerplate,substantive,substantive,0.6,0.75,0.65,4
