sentence_id,transcript,sentence,gold_label,vote_sub,vote_boi,is_tie,vote_margin,mean_conf,std_conf,provider_split,gpt_mini_balanced__label,haiku_pattern__label,sonnet_skeptic__label,gpt_mini_balanced__confidence,haiku_pattern__confidence,sonnet_skeptic__confidence
0a71da76bd02,JNJ_Q3-2025,"And in Q3, we delivered more than 9% growth in biosurgery and almost 7% in wound closure, driven by accelerating adoption of our latest innovations.",substantive,3,0,False,3,0.9566666666666667,0.011547005383792525,False,substantive,substantive,substantive,0.95,0.95,0.97
12e597b1edfb,NKE_Q3-2024,"And as we look forward, we see the launch of Air Max Dn, Euro Champs '24 and the Paris Olympics as opportunities to create near-term brand momentum despite a challenging consumer backdrop.",substantive,3,0,False,3,0.8166666666666668,0.05773502691896257,False,substantive,substantive,substantive,0.75,0.85,0.85
19718b0d03e8,C_Q4-2024,"But I think the important takeaway should be that we're going to see continued momentum across the franchise, driven by loan growth in the branded card side of the business and continued deposit momentum, particularly operating deposits and services.",substantive,3,0,False,3,0.8066666666666666,0.07505553499465135,False,substantive,substantive,substantive,0.85,0.85,0.72
294273446dbf,INTC_Q2-2024,"As you say, a lot of the near-term opportunity has been advanced packaging, and we're seeing a significant expansion of that capability in terms of volume and technology.",substantive,3,0,False,3,0.7333333333333334,0.12583057392117916,False,substantive,substantive,substantive,0.75,0.85,0.6
2df5996eb120,WFC_Q1-2025,"But ultimately, I think your point is right, we'll have the continued opportunity to both -- to grow both fee businesses as well as NII with more degrees of latitude on NII without an asset cap.",substantive,3,0,False,3,0.7133333333333333,0.011547005383792525,False,substantive,substantive,substantive,0.7,0.72,0.72
386028fa5134,NKE_Q1-2026,"We excited sneaker fans with a retro launch of Agassi' Tech Challenge sneakers, and we brought it all together in New York's House of Innovation in an immersive tennis experience.",substantive,3,0,False,3,0.7000000000000001,0.08660254037844388,False,substantive,substantive,substantive,0.75,0.75,0.6
3bf016598922,NKE_Q2-2026,"In Q2, our performance business continued to build momentum, driven by double-digit growth in Running.",substantive,3,0,False,3,0.9,0.04999999999999999,False,substantive,substantive,substantive,0.9,0.95,0.85
3ca23c7348e6,NKE_Q3-2024,"In Mexico, we gained brand strength and momentum with strong growth in football.",substantive,3,0,False,3,0.75,0.13228756555322954,False,substantive,substantive,substantive,0.8,0.85,0.6
4ea4514d3e51,PLTR_Q1-2024,Our U.S. commercial business continues to see unprecedented demand driven by momentum from AIP.,substantive,3,0,False,3,0.7999999999999999,0.04999999999999999,False,substantive,substantive,substantive,0.8,0.85,0.75
692f5a558267,PLTR_Q3-2025,"Excluding revenue from strategic commercial contracts, third quarter U.S. commercial revenue grew 126% year-over-year and 29% sequentially.",substantive,3,0,False,3,0.9766666666666666,0.02309401076758505,False,substantive,substantive,substantive,0.95,0.99,0.99
